ForeignKeyTable                                                                                                                  ForeignKeyName                                                                                                                   ForeignKeyColumn                                                                                                                 ReferencedTable                                                                                                                  ReferencedColumn                                                                                                                 ReferenceType       
-------------------------------------------------------------------------------------------------------------------------------- -------------------------------------------------------------------------------------------------------------------------------- -------------------------------------------------------------------------------------------------------------------------------- -------------------------------------------------------------------------------------------------------------------------------- -------------------------------------------------------------------------------------------------------------------------------- --------------------
Assets                                                                                                                           FK_Assets_Locations_LocationIdRef                                                                                                LocationIdRef                                                                                                                    Locations                                                                                                                        LocationId                                                                                                                       ALTERNATE KEY (GOOD)
Assets                                                                                                                           FK_Assets_Projects_ProjectIdRef                                                                                                  ProjectIdRef                                                                                                                     Projects                                                                                                                         ProjectId                                                                                                                        ALTERNATE KEY (GOOD)
Assets                                                                                                                           FK_Assets_Users_AssignedUserIdRef                                                                                                AssignedUserIdRef                                                                                                                Users                                                                                                                            UserId                                                                                                                           ALTERNATE KEY (GOOD)
AuditEntries                                                                                                                     FK_AuditEntries_Users_UserIdRef                                                                                                  UserIdRef                                                                                                                        Users                                                                                                                            UserId                                                                                                                           ALTERNATE KEY (GOOD)
AuditLogs                                                                                                                        FK_AuditLogs_Users_ActorIdRef                                                                                                    ActorIdRef                                                                                                                       Users                                                                                                                            UserId                                                                                                                           ALTERNATE KEY (GOOD)
Locations                                                                                                                        FK_Locations_Projects_ProjectIdRef                                                                                               ProjectIdRef                                                                                                                     Projects                                                                                                                         ProjectId                                                                                                                        ALTERNATE KEY (GOOD)
RbacAccessAuditLog                                                                                                               FK_RbacAccessAuditLog_Users_UserIdRef                                                                                            UserIdRef                                                                                                                        Users                                                                                                                            UserId                                                                                                                           ALTERNATE KEY (GOOD)
RbacPermissionAuditLog                                                                                                           FK_RbacPermissionAuditLog_RbacPermissions_PermissionIdRef                                                                        PermissionIdRef                                                                                                                  RbacPermissions                                                                                                                  RbacPermissionId                                                                                                                 ALTERNATE KEY (GOOD)
RbacPermissionAuditLog                                                                                                           FK_RbacPermissionAuditLog_RbacRoles_RoleIdRef                                                                                    RoleIdRef                                                                                                                        RbacRoles                                                                                                                        RbacRoleId                                                                                                                       ALTERNATE KEY (GOOD)
RbacPermissionAuditLog                                                                                                           FK_RbacPermissionAuditLog_Users_ActorUserIdRef                                                                                   ActorUserIdRef                                                                                                                   Users                                                                                                                            UserId                                                                                                                           ALTERNATE KEY (GOOD)
RbacPermissionAuditLog                                                                                                           FK_RbacPermissionAuditLog_Users_TargetUserIdRef                                                                                  TargetUserIdRef                                                                                                                  Users                                                                                                                            UserId                                                                                                                           ALTERNATE KEY (GOOD)
RbacPermissions                                                                                                                  FK_RbacPermissions_Users_CreatedByRef                                                                                            CreatedByRef                                                                                                                     Users                                                                                                                            UserId                                                                                                                           ALTERNATE KEY (GOOD)
RbacPermissions                                                                                                                  FK_RbacPermissions_Users_DeactivatedByRef                                                                                        DeactivatedByRef                                                                                                                 Users                                                                                                                            UserId                                                                                                                           ALTERNATE KEY (GOOD)
RbacRolePermissions                                                                                                              FK_RbacRolePermissions_Permissions_PermissionIdRef                                                                               PermissionIdRef                                                                                                                  RbacPermissions                                                                                                                  RbacPermissionId                                                                                                                 ALTERNATE KEY (GOOD)
RbacRolePermissions                                                                                                              FK_RbacRolePermissions_Roles_RoleIdRef                                                                                           RoleIdRef                                                                                                                        RbacRoles                                                                                                                        RbacRoleId                                                                                                                       ALTERNATE KEY (GOOD)
RbacRolePermissions                                                                                                              FK_RbacRolePermissions_Users_GrantedByRef                                                                                        GrantedByRef                                                                                                                     Users                                                                                                                            UserId                                                                                                                           ALTERNATE KEY (GOOD)
RbacRolePermissions                                                                                                              FK_RbacRolePermissions_Users_RevokedByRef                                                                                        RevokedByRef                                                                                                                     Users                                                                                                                            UserId                                                                                                                           ALTERNATE KEY (GOOD)
RbacRoles                                                                                                                        FK_RbacRoles_Users_CreatedByRef                                                                                                  CreatedByRef                                                                                                                     Users                                                                                                                            UserId                                                                                                                           ALTERNATE KEY (GOOD)
RbacRoles                                                                                                                        FK_RbacRoles_Users_DeactivatedByRef                                                                                              DeactivatedByRef                                                                                                                 Users                                                                                                                            UserId                                                                                                                           ALTERNATE KEY (GOOD)
RbacUserPermissions                                                                                                              FK_RbacUserPermissions_Permissions_PermissionIdRef                                                                               PermissionIdRef                                                                                                                  RbacPermissions                                                                                                                  RbacPermissionId                                                                                                                 ALTERNATE KEY (GOOD)
RbacUserPermissions                                                                                                              FK_RbacUserPermissions_Users_GrantedByRef                                                                                        GrantedByRef                                                                                                                     Users                                                                                                                            UserId                                                                                                                           ALTERNATE KEY (GOOD)
RbacUserPermissions                                                                                                              FK_RbacUserPermissions_Users_RevokedByRef                                                                                        RevokedByRef                                                                                                                     Users                                                                                                                            UserId                                                                                                                           ALTERNATE KEY (GOOD)
RbacUserPermissions                                                                                                              FK_RbacUserPermissions_Users_UserIdRef                                                                                           UserIdRef                                                                                                                        Users                                                                                                                            UserId                                                                                                                           ALTERNATE KEY (GOOD)
RbacUserScope                                                                                                                    FK_RbacUserScope_Projects_ProjectIdRef                                                                                           ProjectIdRef                                                                                                                     Projects                                                                                                                         ProjectId                                                                                                                        ALTERNATE KEY (GOOD)
RbacUserScope                                                                                                                    FK_RbacUserScope_Users_AssignedByRef                                                                                             AssignedByRef                                                                                                                    Users                                                                                                                            UserId                                                                                                                           ALTERNATE KEY (GOOD)
RbacUserScope                                                                                                                    FK_RbacUserScope_Users_RemovedByRef                                                                                              RemovedByRef                                                                                                                     Users                                                                                                                            UserId                                                                                                                           ALTERNATE KEY (GOOD)
RbacUserScope                                                                                                                    FK_RbacUserScope_Users_UserIdRef                                                                                                 UserIdRef                                                                                                                        Users                                                                                                                            UserId                                                                                                                           ALTERNATE KEY (GOOD)
RolePermissions                                                                                                                  FK_RolePermissions_Permissions_PermissionIdRef                                                                                   PermissionIdRef                                                                                                                  Permissions                                                                                                                      PermissionId                                                                                                                     ALTERNATE KEY (GOOD)
RolePermissions                                                                                                                  FK_RolePermissions_Roles_RoleIdRef                                                                                               RoleIdRef                                                                                                                        Roles                                                                                                                            RoleId                                                                                                                           ALTERNATE KEY (GOOD)
Roles                                                                                                                            FK_Roles_Users_CreatedByRef                                                                                                      CreatedByRef                                                                                                                     Users                                                                                                                            UserId                                                                                                                           ALTERNATE KEY (GOOD)
Roles                                                                                                                            FK_Roles_Users_DeactivatedByUserIdRef                                                                                            DeactivatedByUserIdRef                                                                                                           Users                                                                                                                            UserId                                                                                                                           ALTERNATE KEY (GOOD)
SecurityAlerts                                                                                                                   FK_SecurityAlerts_SecurityAuditLogs_AuditLogIdRef                                                                                AuditLogIdRef                                                                                                                    SecurityAuditLogs                                                                                                                SecurityAuditLogId                                                                                                               ALTERNATE KEY (GOOD)
SecurityAlerts                                                                                                                   FK_SecurityAlerts_Users_AssignedToUserIdRef                                                                                      AssignedToUserIdRef                                                                                                              Users                                                                                                                            UserId                                                                                                                           ALTERNATE KEY (GOOD)
SecurityAlerts                                                                                                                   FK_SecurityAlerts_Users_UserIdRef                                                                                                UserIdRef                                                                                                                        Users                                                                                                                            UserId                                                                                                                           ALTERNATE KEY (GOOD)
SecurityAuditLogs                                                                                                                FK_SecurityAuditLogs_Users_ActorUserIdRef                                                                                        ActorUserIdRef                                                                                                                   Users                                                                                                                            UserId                                                                                                                           ALTERNATE KEY (GOOD)
SecurityAuditLogs                                                                                                                FK_SecurityAuditLogs_Users_TargetUserIdRef                                                                                       TargetUserIdRef                                                                                                                  Users                                                                                                                            UserId                                                                                                                           ALTERNATE KEY (GOOD)
UserPermissions                                                                                                                  FK_UserPermissions_Permissions_PermissionIdRef                                                                                   PermissionIdRef                                                                                                                  Permissions                                                                                                                      PermissionId                                                                                                                     ALTERNATE KEY (GOOD)
UserPermissions                                                                                                                  FK_UserPermissions_Projects_ProjectIdRef                                                                                         ProjectIdRef                                                                                                                     Projects                                                                                                                         ProjectId                                                                                                                        ALTERNATE KEY (GOOD)
UserPermissions                                                                                                                  FK_UserPermissions_Users_GrantedByUserIdRef                                                                                      GrantedByUserIdRef                                                                                                               Users                                                                                                                            UserId                                                                                                                           ALTERNATE KEY (GOOD)
UserPermissions                                                                                                                  FK_UserPermissions_Users_UserIdRef                                                                                               UserIdRef                                                                                                                        Users                                                                                                                            UserId                                                                                                                           ALTERNATE KEY (GOOD)
UserProjectPermissions                                                                                                           FK_UserProjectPermissions_Permissions_PermissionIdRef                                                                            PermissionIdRef                                                                                                                  Permissions                                                                                                                      PermissionId                                                                                                                     ALTERNATE KEY (GOOD)
UserProjectPermissions                                                                                                           FK_UserProjectPermissions_UserProjects_UserProjectIdRef                                                                          UserProjectIdRef                                                                                                                 UserProjects                                                                                                                     UserProjectId                                                                                                                    ALTERNATE KEY (GOOD)
UserProjects                                                                                                                     FK_UserProjects_Projects_ProjectIdRef                                                                                            ProjectIdRef                                                                                                                     Projects                                                                                                                         ProjectId                                                                                                                        ALTERNATE KEY (GOOD)
UserProjects                                                                                                                     FK_UserProjects_Users_UserIdRef                                                                                                  UserIdRef                                                                                                                        Users                                                                                                                            UserId                                                                                                                           ALTERNATE KEY (GOOD)
Users                                                                                                                            FK_Users_Roles_RoleIdRef                                                                                                         RoleIdRef                                                                                                                        Roles                                                                                                                            RoleId                                                                                                                           ALTERNATE KEY (GOOD)
Users                                                                                                                            FK_Users_Users_CreatedByRef                                                                                                      CreatedByRef                                                                                                                     Users                                                                                                                            UserId                                                                                                                           ALTERNATE KEY (GOOD)
Users                                                                                                                            FK_Users_Users_DeactivatedByRef                                                                                                  DeactivatedByRef                                                                                                                 Users                                                                                                                            UserId                                                                                                                           ALTERNATE KEY (GOOD)
Users                                                                                                                            FK_Users_Users_DeactivatedByUserIdRef                                                                                            DeactivatedByUserIdRef                                                                                                           Users                                                                                                                            UserId                                                                                                                           ALTERNATE KEY (GOOD)
UserScopes                                                                                                                       FK_UserScopes_Projects_ProjectIdRef                                                                                              ProjectIdRef                                                                                                                     Projects                                                                                                                         ProjectId                                                                                                                        ALTERNATE KEY (GOOD)
UserScopes                                                                                                                       FK_UserScopes_Users_AssignedByUserIdRef                                                                                          AssignedByUserIdRef                                                                                                              Users                                                                                                                            UserId                                                                                                                           ALTERNATE KEY (GOOD)
UserScopes                                                                                                                       FK_UserScopes_Users_UserIdRef                                                                                                    UserIdRef                                                                                                                        Users                                                                                                                            UserId                                                                                                                           ALTERNATE KEY (GOOD)

(51 rows affected)
